$mac_LaptopRHSKeys,Right Command and Right Alt,Правый Command и правый Alt,,Mac version of laptop mode keys
$win_LaptopLZoomKey,Left Control,Левый Control,,Windows laptop mode zoom key
$mac_LaptopLZoomKey,Left Command,Левый Command,,Mac laptop mode zoom key
Account_Menu_Login,Login,Войти,,"Account menu ""Login"""
Account_Menu_Logout,Logout,Выйти,,"Acount menu ""Logout"""
Account_Menu_ManageAccount,Manage Account,Управлять аккаунтом,,"Account menu ""Account"""
AnimationManager_InvalidTransition,The transition specified '{0}' is not valid,Указанный переход '{0}' недействителен,,The transition specified in the animation json is not a valid value
BackgroundLayer_HSpeed,Horizontal Speed,Горизонтальная скорость,,Numeric textbox label for horizontal scroll speed
BackgroundLayer_HTile,Horizontal Tile,Горизонтальная плитка,,Checkbox label for horizontal tiling
BackgroundLayer_NoBackground,<no background>,<no background>,,no background selected caption for the background layer button
BackgroundLayer_PosX,X Offset,Отступ X,,Numeric textbox label for x pos offset
BackgroundLayer_PosY,Y Offset,Отступ Y,,numeric textbox label for y pos offset
BackgroundLayer_Stretch,Stretch,Растянуть,,Checkbox label for stretch
BackgroundLayer_VSpeed,Vertical Speed,Вертикальная скорость,,Numeric textbox label for vertical scroll speed
BackgroundLayer_VTile,Vertical Tile,Вертикальная плитка,,Checkbox label for vertical tiling
Breakpoints,Breakpoints,Точки разрыва,,Breakpoints
Breakpoint_Delete,Delete Breakpoint,Удалить точку разрыва,,delete breakpoint menu option
Breakpoint_GotoCode,Go To Code,Перейти к коду,,breakpoint show code menu option
Breakpoint_MenuToggle,Toggle Breakpoint,Переключить точку разрыва,,toggle breakpoint menu option
Breakpoint_Help,"There are no breakpoints to display.\nTo place one, press F9 on the desired line in a code editor.",Нет точек разрыва для отображения.\nДля размещения точки разрыва нажмите F9 на требуемой линии в редакторе кода.,,Breakpoint help text to be displayed when there are no breakpoints
Build_FailedCompile,ERROR: Project failed to compile: error code {0},ОШИБКА: Ошибка составления проекта: код ошибки {0},,Error message when the project fails to compile
Build_FailedDeploy,ERROR: Project failed to deploy: error code {0},ОШИБКА: Ошибка развертывания проекта: код ошибки {0},,Error message when the project fails to deploy
Build_FailedRun,ERROR: Project failed to run: error code {0},ОШИБКА: Ошибка работы проекта: код ошибки {0},,Error message when the project fails to run
Button_Add,Add,Добавить,,Add button
Button_Cancel,Cancel,Отменить,,cancel button
Button_Delete,Delete,Удалить,,Delete button
Button_Done,Done,Готово,,Done button
Button_Import,Import,Импортировать,,import button label
Button_Manage,Manage,Управлять,,Manage button
Button_No,No,Нет,,No
Button_OK,OK,OK,,ok button
Button_Rename,Rename,Переименовать,,Rename button
Button_Resize,Resize,Изменить размер,,resize button label
Button_Scale,Scale,Масштабировать,,Image editor - scale button
Button_Yes,Yes,Да,,Yes
Button_Next,Next,Дальше,,next button label
Button_Create,Create,Создать,,create button label
Button_Apply,Apply,Применить,,apply button label
Button_Remove_All,Remove All,Удалить все,,button label - remove all
Dialog_ResetLayout_Title,Reset Layout,Сбросить схему,,Reset layout dialog title
Dialog_ResetLayout,Resetting the project layout will close any open resources. Are you sure you want to reset the layout?,"При сбросе схемы проекта будут закрыты все открытые ресурсы. Вы уверены, что хотите сбросить схему?",,Dialog message reset layout
Dialog_ResetLayout_ChoicePref,Automatic response to resetting the project layout,Автоматический ответ на сброс схемы проекта,,Default reset layout dialog choice
LicenseNotification_TrialExpiring,Your trial is due to expire in {0} days,Ваш пробный период истекает через {0} дней,,Trial licence expiry notification
LicenseNotification_Expiring,Your licence is due to expire in {0} days,Ваша лицензия истекает через {0} дней,,Licence expiry notification
LicenseNotification_BuyNow,Buy Now,Купить сейчас,,Buy Now label
LicenseNotification_ButtonBuyNow,BUY NOW,КУПИТЬ СЕЙЧАС,,BUY NOW label
IDE_License_Label,Your licence is due to expire in {0} days,Ваша лицензия истекает через {0} дней,,IDE licence label
IDE_TrialLicense_Label,Your trial is due to expire in {0} days,Ваш пробный период истекает через {0} дней,,IDE trial licence label
Certificate_GenerateSucceeded,Successfully created certificate file: {0},Удачно созданный файл сертификата: {0},,certificate create success
Certificate_GenerateFailed,Failed to create certificate file: {0},Ошибка создания файла сертификата: {0},,certificate create failed
Certificate_FileAlreadyExists,Certificate file '{0}' already exists; please choose a new filename,Файл сертификата '{0}' уже существует; выберите новое название файла,,certificate file exists
Certificate_RequiredFieldsMissing,Name and Password fields must be set,Нужно установить поля названия и пароля,,create certificate missing fields
Certificate_FileMissing,Unable to find certificate file '{0}',Не удается найти файл сертификата '{0}',,certificate file missing
Certificate_Test_Title,Certificate Check,Проверка сертификата,,certificate test title
Certificate_PasswordFail,Password is NOT valid for certificate,Пароль НЕДЕЙСТВИТЕЛЕН для сертификата,,certificate password fail
Certificate_PasswordOK,Password is valid for certificate,Пароль действителен для сертификата,,certificate password ok
CertProperties_Heading,Set .pem certificate file and password,Установить файл сертификата .pem и пароль,,certificate properties heading
CertProperties_Heading2,(you can use an existing GameMaker marketplace certificate),(вы можете использовать существующий рыночный сертификат GameMaker),,certificate properties heading 2
CertProperties_CertificateFile,Certificate File:,Файл сертификата:,,certificate file label
CertProperties_CertificatePassword,Certificate Password:,Пароль сертификата:,,certificate password label
CertProperties_Check,Check,Проверить,,certificate properties check certificate button label
CertProperties_CheckTooltip,Check that the password is valid for the selected certficate file,Проверить действительность пароля для выбранного файла сертификата,,certificate properties check tooltip
CertProperties_CreateInfoLabel,"If you don't have a certificate, you can create one:","Если у вас нет сертификата, создайте его:",,certificate properties create info
CertProperties_CreateNewCertificate,Create new certificate,Создать новый сертификат,,certificate properties create new certificate button label
CertProperties_CreateCertificate,Create Certificate,Создать сертификат,,certificate properties create certificate button label
CertProperties_EnterCertDetails,Enter new certificate details:,Ввести данные нового сертификата:,,certificate properties enter certificate details
CertProperties_PublisherName,Publisher Name:,Имя издателя:,,cert properties author name
CertProperties_CreatePublisherAccount,Create Publisher Account,Создать аккаунт издателя,,create publisher account button label
CodeWindow_2Column,2 columns,2 колонки,,Document window layout menu option - 2columns
CodeWindow_3Column,3 columns,3 колонки,,Document window layout menu option - 3 columns
CodeWindow_Fullscreen,Fullscreen workspace tab,Вкладка полноэкранного рабочего места,,Document window layout menu option - fullscreen workspace tab
CodeWindow_Menu_Help,Keyword help,Справка по клавиатуре,,Code window help menu option
CodeWindow_Menu_ShowResource,Show resource,Показать ресурс,,Code window show resource menu option
CodeWindow_SingleColumn,Single pane,Одно окно,,Document window layout menu option - 1 column
CodeWindow_Title,Code,Код,,fullscreen code editor workspace tab title
CodeWindow_RestoreToWorkspace,Restore to Workspace,Восстановить рабочее место,,code editor restore to workspace context menu option
CodeWindow_GotoObject,Go to Object,Перейти на объект,,code editor go to object context menu option
CodeWindow_AddEvent,Add/Open Event,Добавить/открыть событие,,code editor event script add event context menu option
CodeWindow_OpenInheritedEvent,Open Inherited Event,Открыть унаследованное событие,,open inherited event context menu option
GotoLine_Title,Go To Line,Перейти на линию,,goto line dialog title
GotoLine_Label,Line Number ({0} - {1}),Число линии ({0} - {1}),,goto line label
CompileErrors,Compile Errors,Ошибки компиляции,,Compile Errors tab title
CompileErrors_NoErrors,There are no compile errors to show!,Ошибки компиляции отсутствуют.,,No compile errors message
Configuration,Configuration,Конфигурация,,Configuration
Configuration_Select,Select Configuration,Выбрать конфигурацию,,Window title for config select
Configurations,Configurations,Конфигурации,,Configurations
Configurations_Add,Add New Configuration,Добавить новую конфигурацию,,Add configuration window title
Configurations_Delete,Are you sure you want to delete configuration '{0}' and all of its children?,"Вы уверены, что хотите удалить конфигурацию «{0}» и все ее дочерние конфигурации?",,Confirm for deleting a configuration
Configurations_Delete_OtherConfigs,Are you sure? Deleting configuration '{0}' will also delete the following configurations: '{1}'.,Вы уверены? Удаление конфигурации '{0}' также приведет к удалению следующих конфигураций: '{1}'.,,Warning about deleting a configuration deleting child configs
Configurations_DeleteError,Cannot delete configuration '{0}',Нельзя удалить конфигурацию '{0}',,Cannot delete a configuration error message
Configurations_DuplicateEntryError,Cannot duplicate existing configuration name,Нельзя дублировать название существующей конфигурации,,Configuration name cannot be duplicated error message
Configurations_InvalidLicenseError,Cannot create configurations with GameMaker Trial,Нельзя создать конфигурацию с GameMaker Trial,,Cannot create configurations with the Trial version of GameMaker error message
Configurations_InvalidNameError,The configuration name '{0}' is not valid,Название конфигурации '{0}' недействительно,,Configuration name provided is invalid
Configurations_Manage,Manage Configurations,Управлять конфигурациями,,Manage Configurations window title
Configurations_NameEmptyError,New configuration name cannot be empty,Название новой конфигурации не может быть пустым,,Configuration name cannot be empty error message
Configurations_NewName,New Configuration Name,Название новой конфигурации,,New configuration label
Configurations_Parent,Parent Configuration,Родительская конфигурация,,Choose parent configuration label
Configurations_Promote,Promote,Продвигать,,Promotion of a config up the config hierarchy
Configurations_Rename,Rename Configuration,Переименовать конфигурацию,,Rename configuration
Configurations_RenameError,Cannot rename '{0}' configuration,Нельзя переименовать конфигурацию '{0}',,Configuration name cannot be renamed error message
Configurations_ConfirmPromote,Are you sure? Promoting a configuration cannot be undone,Вы уверены? Продвижение конфигурации не может быть отменено,,Confirm the user really wants to promote a config
ContextMenu_AddMenuEntry,Add Menu Entry,Добавить пункт меню,,Context menu option to add a menu entry at the end of the context menu
ContextMenu_AddMenuEntryAfter,Add Menu Entry Below,Добавить пункт меню ниже,,Context menu option to add a menu entry below the selected entry
ContextMenu_AddMenuEntryBefore,Add Menu Entry Above,Добавить пункт меню выше,,Context menu option to add a menu entry above the selected entry
ContextMenu_AddMenuSeparatorAfter,Add Menu Separator Below,Добавить разделитель меню ниже,,Context menu option to add a separator below the selected entry
ContextMenu_AddMenuSeparatorBefore,Add Menu Separator Above,Добавить разделитель меню выше,,Context menu option to add a separator above the selected entry
ContextMenu_AddSubMenuEntry,Add Sub Menu Entry,Добавить пункт подменю,,Context menu option to add a sub menu entry at the end of the context menu
ContextMenu_AddSubMenuEntryAfter,Add Sub Menu Entry Below,Добавить пункт подменю ниже,,Context menu option to add a sub menu entry before the selected entry
ContextMenu_AddSubMenuEntryBefore,Add Sub Menu Entry Above,Добавить пункт подменю выше,,Context menu option to add a sub menu entry after the selected entry
ContextMenu_MoveEntryDown,Move Menu Item Down,Переместить элемент меню вниз,,Context menu option to move a menu entry or separator down
ContextMenu_MoveEntryUp,Move Menu Item Up,Переместить элемент меню вверх,,Context menu option to move a menu entry or separator up
Dialog_AreYouSure,Are you sure?,Вы уверены?,,"Generic ""Are you sure?"" dialog message"
Dialog_Confirm,Confirm,Подтвердить,,"Dialog ""confirm"" heading"
Dialog_DeleteEvent_Query,Are you sure you want to remove the event with all its actions?,"Вы уверены, что хотите удалить событие со всеми его действиями?",,Delete event dialog confirmation query
Dialog_CutEvent_Query,Are you sure you want to cut the selected event?,"Вы уверены, что хотите вырезать выбранное событие?",,Cut event dialog confirmation query
Dialog_DeleteEvent_Query_Multiple,Are you sure you want to remove {0} events with all their actions?,"Вы уверены, что хотите удалить {0} событий со всеми их действиями?",,Delete multiple event dialog confirmation query
Dialog_DeleteFrame_Query,Delete the selected frames?,Удалить выбранные кадры?,,image editor delete frames confirm query
Dialog_PasteEvent_NotReady,The event is still being copied. Please try pasting again in a few seconds.,Событие по-прежнему копируется. Попробуйте вставить через несколько секунд.,,Not ready to paste yet message
Dialog_DontShowAgain,Don't show this message again,Больше не показывать это сообщение.,,Message next to checkbox to allow the user to choose not to see this popup in future
Dialog_Error,Error,Ошибка,,error dialog title
Dialog_NotReady,Not Ready,Не готово,,not ready dialog title
Dialog_Success,Success,Успешно,,success dialog title
Dialog_Invalid,Invalid,Недействительно,,Dialog caption text for invalid input
Dialog_InvalidInput,Invalid input. Please provide the required information.,Недействительный ввод. Предоставьте требуемую информацию.,,A dialog message for invalid input in dialogs
Dialog_SaveChangesToX,Save the changes to {0}?,Сохранить изменения {0}?,,Save changes to X query
Dialog_Warning,Warning,Предупреждение,,"Dialog ""Warning"" title"
DialogEditor_AddContextMenu,Add Context Menu,Добавить контекстное меню,,Context menu option to add a context menu to the selected gadget
DialogEditor_Cell,Grid Cell,Ячейка сетки,,Layout Hierarchy heading for a grid cell group
DialogEditor_ChildGadgets,Child Gadgets,Дочерние гаджеты,,Layout Hierarchy heading for a child gadgets group
DialogEditor_ChildWindows,Child Windows,Дочерние окна,,Layout Hierarchy heading for a child windows group
DialogEditor_ClearLayoutList,Clear List,Очистить список,,Button label for clearing the open layout list
DialogEditor_Client,Client Panel,Окно клиента,,Layout Heirarchy heading for a client panel (window or tab)
DialogEditor_ClippedGadget,Clip To Parent,Прикрепить к родителю,,context menu option for setting if a gadget is clipped within its parent or not
DialogEditor_ColourDialog,Colour Dialog,Цветной диалог,,layout hierarchy label for a colour dialog window
DialogEditor_ColourSelected,Selected Colour Display,Выбранный цветной дисплей,,layout hierarchy label for the selected colour display
DialogEditor_ColumnSplitter,Grid Column Splitter,Сплиттер колонки сетки,,Layout Heirarchy heading for a grid column splitter
DialogEditor_ColumnDockSplitter,Grid Column Dock Splitter,Сплиттер дока колонки сетки,,Layout Heirarchy heading for a grid column dock splitter
DialogEditor_RowDockSplitter,Grid Row Dock Splitter,Сплиттер дока ряда сетки,,Layout Heirarchy heading for a grid row dock splitter
DialogEditor_GridSplitter,Grid Splitter,Сплиттер сетки,,gadget properties heading for a grid splitter
DialogEditor_DockSplitter,Grid Dock Splitter,Сплиттер дока сетки,,gadget properties heading for a grid dock splitter
DialogEditor_ContextMenu,Context Menu,Контекстное меню,,Layout Heirarcy heading for a context menu
DialogEditor_CopyGadget,Copy Gadget,Копировать гаджет,,menu entry for copying a gadget to clipboard
DialogEditor_CutGadget,Cut Gadget,Вырезать гаджет,,menu entry for cutting a gadget to clipboard
DialogEditor_DeleteGadget,Delete Gadget,Удалить гаджет,,menu entry for deleting the currently highlighted gadget
DialogEditor_DeleteLayout,Delete Layout,Удалить схему,,Dialog editor delete layout menu entry
DialogEditor_DeleteLayout_AreYouSure,Are you sure you want to delete this layout?,"Вы уверены, что хотите удалить эту схему?",,Check the user really wants to delete the layout
DialogEditor_DuplicateLayoutName,Dialog Editor: Duplicate Layout Name,Редактор диалога: Дублирование названия схемы,,log prompt for user to indicate the layout name is already in use
DialogEditor_DuplicateStyleName,A duplicate of stylename '{0}' was found in\n'{1}'\nthe style will continue to be saved in\n'{2}',Дубликат названия стиля '{0}' был найден в\n'{1}'\nстиль продолжит сохраняться в\n'{2}',,warning message that a duplicate of a style name was found but will be ignored
DialogEditor_Error,Error,Ошибка,,dialog editor error box title
DialogEditor_FailedToOpenJSON,Dialog Editor: Failed to open .json file: '{0}',Редактор диалога: Ошибка открытия файла .json: '{0}',,The .json file selected failed to load
DialogEditor_FileBrowse,Browse...,Просмотр...,,browse for filepath
DialogEditor_FileName,File name:,Имя файла:,,layout file name
DialogEditor_FlattenSubLayout,Flatten SubLayout,Плоская подсхема,,Context menu/menu bar entry for flattening a sub layout within a layout hierarchy
DialogEditor_Gadgets,Gadgets,Гаджеты,,Layout Hierarchy heading for a gadgets group
DialogEditor_GUIBase,GUI Base,Основание GUI,,gadget properties heading for properties coming from the GUIBase class
DialogEditor_GUIStyle,Style,Стиль,,Gadget properties heading for the guistyle class properties
DialogEditor_Hierarchy,Layout Hierarchy,Иерархия схемы,,the title for the layout hierarchy window
DialogEditor_HighlightedGadgetInfo,"relative position: ({0}px, {1}px) dimension: ({2}px, {3}px)","относительная позиция: ({0}px, {1}px) размеры: ({2}px, {3}px)",,display position and dimension of the currently highlighted gadget
DialogEditor_HSVTextEntry,HSV Input,Ввод HSV,,layout hierarchy label for the HSV input boxes
DialogEditor_InvalidJSON,The style '{0}' is not a valid json primitive. Please amend or revert the style. No changes will be saved.,Стиль '{0}' — недопустимый примитив json. Измените стиль или верните прежний стиль. Никакие изменения не будут сохранены.,,Error message when the user attempts to save a broken json style
DialogEditor_LabelAndIconCollection,Name And Icon,Название и значок,,Gadget properties heading for the LabelAndIcon class properties
DialogEditor_Layout,Layout,Схема,,Gadget properties heading for the basic layout properties group
DialogEditor_LayoutName,Layout name:,Название схемы:,,layout name
DialogEditor_ListBoxItems,List Items,Список элементов,,The layout hierarchy label for the list items
DialogEditor_LoadLayoutXML,Load Layout File,Загрузить файл схемы,,Button prompt for loading a layout xml file
DialogEditor_MenuBarEntry,Menu Bar Entry,Пункт поля меню,,layout hierarchy label for menubarentry gadget
DialogEditor_MenuEntry,Menu Entry,Пункт меню,,Layout Hierarchy heading for a menu entry
DialogEditor_NewLayout,New Layout,Новая схема,,Dialog editor new layout menu entry
DialogEditor_Node,Tree View Node,Узел древовидного списка,,Tree view node label in the gadget layout hierarchy
DialogEditor_NoJSONSelected,Dialog Editor: No JSON File Selected,Редактор диалога: Не выбран файл JSON,,There was no .json file selected by the user
DialogEditor_NoLayoutSelected,Dialog Editor: No Layout Selected,Редактор диалога: Не выбрана схема,,log prompt for user to indicate no layout was selected
DialogEditor_NoXMLSelected,Dialog Editor: No XML File Selected,Редактор диалога: Не выбран файл XML,,log prompt for user to indicate no xml file was selected
DialogEditor_OpenLayout,Open Layout,Открыть схему,,Dialog editor open layout menu entry
DialogEditor_OverridingStyleFile,The style name '{0}' is currently registered to\n'{2}'\nbut will now be saved to\n'{1}',"Название стиля '{0}' в настоящее время зарегистрировано на\n'{2}'\n, но теперь будет сохранено на\n'{1}'",,Message when the user overrides a styles save file
DialogEditor_PasteGadget,Paste Gadget,Вставить гаджет,,menu entry for pasting a gadget from clipboard
DialogEditor_Properties,Gadget Layout Properties,Свойства схемы гаджета,,the title for the layout properties window
DialogEditor_RadioGroup,Radio Button Group,Группа радиокнопки,,Layout hierarchy display name for radio button group
DialogEditor_ReloadImages,Reload Images,Перезагрузить изображения,,menu bar entry for reloading all images in the dialog editor
DialogEditor_RemoveTestLayout,Remove Active Test Layouts,Удалить схемы активного теста,,Menu option to remove any active test layout windows from the dialog editor
DialogEditor_RevertAllStyles,Revert All Styles To Last Save,Вернуть все стили к последнему сохраненному,,Revert the all the currently open styles to version on disk
DialogEditor_RevertAllStylesToOriginal,Revert All Styles To Original State,Вернуть все стили в первоначальное состояние,,Revert the all the currently open styles to version of unmodified file on disk
DialogEditor_RevertStyle,Revert Style To Last Save,Вернуть стиль к последнему сохраненному,,Revert the currently active style to version on disk
DialogEditor_RevertStyleToOriginal,Revert Style To Original State,Вернуть стиль в первоначальное состояние,,Revert the currently active style to version of unmodified file on disk
DialogEditor_RGBATextEntry,RGBA Input,Ввод RGBA,,layout hierarchy label for the RGBA input boxes
DialogEditor_RowSplitter,Grid Row Splitter,Сплиттер ряда сетки,,Layout Heirarchy heading for a grid row splitter
DialogEditor_SaveAllStyles,Save All Styles,Сохранить все стили,,Menu option to save all open styles to file
DialogEditor_SaveAsLayout,Save Layout As...,Сохранить схему как...,,Dialog editor save as layout menu entry
DialogEditor_SaveFailed,Dialog Editor: Save failed due to error: {0} - {1},Редактор диалога: Не удалось сохранить из-за ошибки: {0} - {1},,lop propmt for user to indicate the save failed
DialogEditor_SaveLayout,Save Layout,Сохранить схему,,Dialog editor save layout menu entry
DialogEditor_SaveStyle,Save Style,Сохранить стиль,,Menu option to save a style to file
DialogEditor_SaveStyleAs,Save Style As...,Сохранить стиль как...,,Menu option to save a style to a different file or with a different name
DialogEditor_ScrollPanel,Scroll Panel,Окно прокрутки,,layout hierarchy display name for scroll panel
DialogEditor_SelectContextMenu,Edit Context Menu,Редактировать контекстное меню,,Context menu option to select the context menu for the selected gadget so it can be edited
DialogEditor_SelectSaveFile,Select the file to save the style to. If the file doesn't already contain the style definition it will search all files within its folder.\nUse 'Save Style As...' to explicitly override save file,"Выбрать файл для сохранения стиля. Если у файла еще нет определения стиля, будет осуществлен поиск во всех файлах папки.\nИспользуйте «Сохранить стиль как...» для эксплицитного оверрайда (замещения) сохраненного файла",,Information about selecting a save file. Informs the user that if the file they have chosen doesn't already include the stylename it will search for the file that does inside the parent folder
DialogEditor_StyleEditor,Style Editor,Редактор стиля,,the title for the style editor window
DialogEditor_StyleName,Style name:,Название стиля:,,style name
DialogEditor_StyleNotFound,The style wasn't found in this folder. It will append to the selected file unless an alternative is selected.,"Стиль не найден в этой папке. Будет приписан к выбранному файлу, если не будет выбрана альтернатива.",,Warning message that the style wasnt' found so it will be appended to the end of the given style instead
DialogEditor_SubMenuEntry,Sub Menu Entry,Пункт подменю,,Layout hierarchy label for a sub menu entry
DialogEditor_TabControl,Tab Control Panel,Окно управления вкладками,,Gadget toolbox display name for tab control
DialogEditor_TabItem,Tab,Вкладка,,Layout Heirarchy heading for a tab
DialogEditor_TestLayout,Test Layout,Схема тестирования,,Dialog editor test layout menu entry
DialogEditor_Title,Dialog Editor,Редактор диалога,,title for the dialog editor window
DialogEditor_Toolbox,Gadget Toolbox,Комплект инструментов гаджета,,title for the gadget toolbox window
DialogEditor_TreeViewNode,TreeViewNode,TreeViewNode (Узел древовидного списка),,Dialog editor TreeViewNode
DialogEditor_Warning,Warning,Предупреждение,,warning message box title
Edit_Menu_FindResource,Find Resource,Найти ресурс,,"Edit menu ""FindResource"""
Edit_Menu_Redo,Redo,Переделать,,Redo menu entry
Edit_Menu_Search,Search & Replace,Найти и заменить,,"Edit menu ""Search & Replace"""
Edit_Menu_Undo,Undo,Отменить,,Undo menu entry
Error_AnimBlendClone,{0} does not implement ICloneable,{0} не внедряет ICloneable,,Any class that is used in the animation system must implement ICloneable
Error_CursorManagerDuplicateName,Attempting to add a cursor using image {1} with duplicated id {0} please assign a different name,При попытке добавить курсор с использованием изображения {1} с дубликатом id {0} назначьте другое название,,Multiple cursors have been added with the same reference name
Error_CursorManagerFailedLoad,Attempted to load cursor {1} but received error '{0}',Попытка загрузить курсор {1} с получением ошибки '{0}',,File load failed for cursor image
Error_CursorManagerLoadingInfoMissing,Attempting to load cursor {0} but can't find loading info,Не удается найти информацию загрузки при попытке загрузить курсор {0},,The loading callback for a cursor can't find the loading hotspot info
Error_GadgetToolboxFailedLoad,Attempted to load gadget toolbox info but received error '{0}' - '{1}',"Предпринята попытка загрузить информацию по комплекту инструментов гаджета, но получена ошибка '{0}' - '{1}'",,Failed to load the gadget toolbox list
Error_GadgetToolboxInvalidGadget,Attempted to add gadget '{0}' to toolbox but it isn't registered with the layout manager,"Предпринята попытка добавить гаджет '{0}' в комплект инструментов, но он не зарегистрирован в менеджере схемы ",,Invalid gadget specified in gadget toolbox list
Error_Cursors,Cursor Error,Ошибка курсора,,Cursor error warning title
Error_GUILayout_AnchorRequiresParentPos,"A parent reliant anchor (bottom or right) has been set with no parent gadget, try setting the dimension instead","Зависящий от родителя анкор (снизу или справа) установлен без родительского гаджета, вместо этого попробуйте установить размер",,Attempted to use an bottom or right anchor when there is no parent gadget to base the position upon
Error_GUILayout_DimensionAndBothAnchors,"A dimension input has been set along with both the associated anchors, the dimension input will be ignored","Ввод размера установлен вместе с двумя связанными с ним анкорами, ввод размера будет проигнорирован",,"Both the dimension and the associated anchors have been set (for instance width, top and bottom) the dimension will be calculated from the anchors not the dimension input"
Error_GUILayout_FailedCalculatePosition,"Cannot calculate actual position of gadget, too few anchors and/or dimensions are set","Нельзя рассчитать фактическую позицию гаджета, задано слишком мало анкоров и/или размеров",,Gadget requires at least one anchor or the dimension to be set for each direction
Error_GUILayout_PercentageRequiresParentDimension,"An anchor or dimension has been set to percentage with no parent gadget, try using pixel instead","Анкор или размер установлен на проценты без родительского гаджета, вместо этого попробуйте использовать пиксель",,Attempted to use percentage style values when there is no parent gadget to base it upon
Error_ProjectLoadFailure,Project load failed. Unable to load {0},Ошибка загрузки проекта. Не удалось загрузить {0},,Project load failure
Error_ProjectTooNew,"This project requires a newer version of the IDE and so will not be loaded. Please update your IDE to at least the version used to create the project, then try opening it again.","Для проекта требуется более новая версия IDE, проект не будет загружен. Обновите IDE как минимум до версии, использованной для создания проекта, затем попробуйте снова его открыть.",,Error message for loading in a project created in a newer version
Error_StyleNotFound,"Can not set requested style, not found","Нельзя задать запрошенный стиль, стиль не найден",,Trying to set a style when it hasn't been loaded/found
Error_WeakDelegateArgument,Method '{1}' on object '{0}' failed because {2},Ошибка метода '{1}' на объекте '{0}' по причине {2},,Attempting to invoke a method from within a weak delegate with incorrect arguments
Error_WeakDelegateParameterCount,Method '{1}' on object '{0}' failed due to mismatching parameter count,Ошибка метода '{1}' на объекте '{0}' из-за несовпадающего числа параметров,,Attempting to invoke a method from within a weak delegate with incorrect parameter count
Event_Alarm,Alarm,Аларм,,Alarm event name
Event_AlarmN,Alarm {0},Аларм {0},,Key Event Alarm N
Event_Async_AudioPlayback,Async - Audio Playback,Асинхрон - проигрывание звука,,Asynchronous event subtype
Event_Async_AudioRecording,Async - Audio Recording,Асинхрон - запись звука,,Asynchronous event subtype
Event_Async_Cloud,Async - Cloud,Асинхрон - клауд,,Asynchronous event subtype
Event_Async_Dialog,Async - Dialog,Асинхрон - диалог,,Asynchronous event subtype
Event_Async_HTTP,Async - HTTP,Асинхрон - HTTP,,Asynchronous event subtype
Event_Async_IAP,Async - In-App Purchase,Асинхрон - покупка в приложении,,Asynchronous event subtype
Event_Async_ImageLoaded,Async - Image Loaded,Асинхрон - изображение загружено,,Asynchronous event subtype
Event_Async_Networking,Async - Networking,Асинхрон - нетворкинг,,Asynchronous event subtype
Event_Async_PushNotification,Async - Push Notification,Асинхрон - пуш-уведомление,,Asynchronous event subtype
Event_Async_SaveLoad,Async - Save/Load,Асинхрон - Сохранить/Загрузить,,Asynchronous event subtype
Event_Async_Social,Async - Social,Асинхрон - социальное,,Asynchronous event subtype
Event_Async_Steam,Async - Steam,Асинхрон - стим,,Asynchronous event subtype
